,Unnamed: 0,RODADA,GOLS_MANDANTE,GOLS_VISITANTE,ANO,RESULTADO_PREDITO,RESULTADO
0,284,17,0.0,0.0,2016,Empate,Empate
1,263,27,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
2,276,33,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
3,277,19,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
4,285,26,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
5,293,32,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
6,316,6,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
7,262,35,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
8,266,1,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
9,282,11,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
10,287,3,1.0,1.0,2016,Empate,Empate
11,294,9,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
12,264,12,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
13,275,29,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
14,283,23,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
15,303,5,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
16,315,21,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
17,292,37,2.0,2.0,2016,Empate,Empate
18,344,15,0.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
19,277,1,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
20,292,25,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
21,293,21,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
22,303,9,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
23,316,32,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
24,327,30,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
25,344,17,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
26,266,5,1.0,1.0,2016,Empate,Empate
