,Unnamed: 0,RODADA,MANDANTE,GOLS_MANDANTE,VISITANTE,GOLS_VISITANTE,ANO,RESULTADO,RESULTADO_PREDITO
0,284,17,América-MG,0.0,Grêmio,0.0,2016,,Vitória_Mandante
1,263,27,América-MG,1.0,Botafogo,0.0,2016,,Vitória_Mandante
2,276,33,América-MG,1.0,São Paulo,0.0,2016,,Vitória_Mandante
3,277,19,América-MG,1.0,Santos,0.0,2016,,Vitória_Mandante
4,285,26,América-MG,1.0,Internacional,0.0,2016,,Vitória_Mandante
5,293,32,América-MG,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
6,316,6,América-MG,1.0,Figueirense,0.0,2016,,Vitória_Mandante
7,262,35,América-MG,0.0,Flamengo,1.0,2016,,Empate
8,266,1,América-MG,0.0,Fluminense,1.0,2016,,Vitória_Mandante
9,282,11,América-MG,0.0,Atlético-MG,1.0,2016,,Vitória_Mandante
10,287,3,América-MG,1.0,Vitória,1.0,2016,,Vitória_Mandante
11,294,9,América-MG,2.0,Coritiba,1.0,2016,,Vitória_Mandante
12,264,12,América-MG,0.0,Corinthians,2.0,2016,,Vitória_Visitante
13,275,29,América-MG,0.0,Palmeiras,2.0,2016,,Vitória_Visitante
14,283,23,América-MG,0.0,Cruzeiro,2.0,2016,,Empate
15,303,5,América-MG,1.0,Ponte Preta,2.0,2016,,Vitória_Mandante
16,315,21,América-MG,1.0,Chapecoense,2.0,2016,,Vitória_Mandante
17,292,37,América-MG,2.0,Sport,2.0,2016,,Empate
18,344,15,América-MG,0.0,Santa Cruz,3.0,2016,,Vitória_Mandante
19,277,1,Atlético-MG,1.0,Santos,0.0,2016,,Vitória_Mandante
20,292,25,Atlético-MG,1.0,Sport,0.0,2016,,Vitória_Mandante
21,293,21,Atlético-MG,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
22,303,9,Atlético-MG,3.0,Ponte Preta,0.0,2016,,Vitória_Mandante
23,316,32,Atlético-MG,3.0,Figueirense,0.0,2016,,Vitória_Mandante
24,327,30,Atlético-MG,3.0,América-MG,0.0,2016,,Vitória_Mandante
25,344,17,Atlético-MG,3.0,Santa Cruz,0.0,2016,,Vitória_Mandante
26,266,5,Atlético-MG,1.0,Fluminense,1.0,2016,,Vitória_Mandante
27,275,35,Atlético-MG,1.0,Palmeiras,1.0,2016,,Vitória_Mandante
28,264,10,Atlético-MG,2.0,Corinthians,1.0,2016,,Vitória_Mandante
29,287,23,Atlético-MG,2.0,Vitória,1.0,2016,,Vitória_Mandante
30,294,15,Atlético-MG,2.0,Coritiba,1.0,2016,,Vitória_Mandante
31,285,27,Atlético-MG,3.0,Internacional,1.0,2016,,Vitória_Mandante
32,315,19,Atlético-MG,3.0,Chapecoense,1.0,2016,,Vitória_Mandante
33,276,37,Atlético-MG,1.0,São Paulo,2.0,2016,,Vitória_Mandante
34,262,33,Atlético-MG,2.0,Flamengo,2.0,2016,,Empate
35,284,3,Atlético-MG,0.0,Grêmio,3.0,2016,,Vitória_Visitante
36,283,7,Atlético-MG,2.0,Cruzeiro,3.0,2016,,Empate
37,263,12,Atlético-MG,5.0,Botafogo,3.0,2016,,Vitória_Mandante
38,262,38,Atlético-PR,0.0,Flamengo,0.0,2016,,Empate
39,263,22,Atlético-PR,1.0,Botafogo,0.0,2016,,Vitória_Mandante
40,266,16,Atlético-PR,1.0,Fluminense,0.0,2016,,Vitória_Mandante
41,276,26,Atlético-PR,1.0,São Paulo,0.0,2016,,Vitória_Mandante
